source,content_type,sentiment,positive,negative,neutral,mixed
cnn,article,NEUTRAL,0.022830728441476822,0.025720296427607536,0.9432653784751892,0.008183593861758709
cnbc,article,NEUTRAL,0.00026457072817720473,0.002498431596904993,0.9971906542778015,4.6381272113649175e-05
reuters,article,NEUTRAL,0.05163022130727768,0.021356115117669106,0.9254194498062134,0.0015942086465656757
bbc,article,NEUTRAL,0.07312098890542984,0.03116159327328205,0.8623925447463989,0.033324822783470154
german,article,NEUTRAL,0.021177319809794426,0.04517954960465431,0.9325119256973267,0.0011312037240713835
fox_news,youtube,NEUTRAL,0.1181144043803215,0.003168086288496852,0.8784664869308472,0.0002510039776097983
cnn_news,youtube,NEUTRAL,0.16321827471256256,0.3128402829170227,0.49472203850746155,0.029219361022114754
cnbc_fast_money,youtube,NEUTRAL,0.037118300795555115,0.018039856106042862,0.8355042338371277,0.10933759808540344
cnbc_news,youtube,NEUTRAL,0.008402988314628601,0.12798212468624115,0.8577079176902771,0.005906954407691956
reuters_powell,youtube,NEUTRAL,0.09515738487243652,0.028414076194167137,0.8762924075126648,0.00013614022464025766
